image_id,image_path,question,answer
1437708773,images/1437708773.jpg,What is the title of this book?,"Color Atlas of Dental Implant Surgery, 3e"
1437708773,images/1437708773.jpg,What type of book is this?,Medical Books
1437708773,images/1437708773.jpg,Is this book related to Medical Books?,Yes
1437708773,images/1437708773.jpg,Is this book related to Parenting & Relationships?,No
809053454,images/809053454.jpg,Who wrote this book?,Michael Lockshin
809053454,images/809053454.jpg,What is the title of this book?,Guarded Prognosis: A Doctor and His Patients Talk About Chronic Disease and How to Cope With It
809053454,images/809053454.jpg,What is the genre of this book?,"Health, Fitness & Dieting"
809053454,images/809053454.jpg,Is this a fitness book?,Yes
809053454,images/809053454.jpg,Is this a motivational book?,No
143037722,images/143037722.jpg,Who is the author of this book?,Jonathan Spence
143037722,images/143037722.jpg,What is the title of this book?,Mao Zedong: A Life
143037722,images/143037722.jpg,What type of book is this?,Biographies & Memoirs
143037722,images/143037722.jpg,Is this book related to Biographies & Memoirs?,Yes
143037722,images/143037722.jpg,"Is this book related to Health, Fitness & Dieting?",No
312624670,images/312624670.jpg,Who wrote this book?,C. C. Hunter
312624670,images/312624670.jpg,What is the title of this book?,Born at Midnight (A Shadow Falls Novel)
312624670,images/312624670.jpg,What type of book is this?,Teen & Young Adult
312624670,images/312624670.jpg,Is this book related to Teen & Young Adult?,Yes
312624670,images/312624670.jpg,"Is this book related to Crafts, Hobbies & Home?",No
881673404,images/881673404.jpg,Who wrote this book?,"Arthur K., M.D. Shapiro"
881673404,images/881673404.jpg,What is the title of this book?,Gilles De LA Tourette Syndrome
881673404,images/881673404.jpg,What type of book is this?,"Health, Fitness & Dieting"
881673404,images/881673404.jpg,Is this a fitness book?,Yes
881673404,images/881673404.jpg,Is this a comedy book?,No
132824876,images/132824876.jpg,Who wrote this book?,John A. Van de Walle
132824876,images/132824876.jpg,What is the title of this book?,Teaching Student-Centered Mathematics: Developmentally Appropriate Instruction for Grades 3-5 (Volume II) (2nd Edition) (New 2013 Curriculum & Instruction Titles)
132824876,images/132824876.jpg,What is the genre of this book?,Education & Teaching
132824876,images/132824876.jpg,Is this a pedagogy book?,Yes
132824876,images/132824876.jpg,Is this a child-care book?,No
1624382991,images/1624382991.jpg,Who is the author of this book?,TF Publishing
1624382991,images/1624382991.jpg,What is the title of this book?,2016 Keep Calm and Quote Movies Simplicity 18 Month Planner
1624382991,images/1624382991.jpg,What type of book is this?,Calendars
1624382991,images/1624382991.jpg,Is this book related to Calendars?,Yes
1624382991,images/1624382991.jpg,Is this book related to Comics & Graphic Novels?,No
1624382991,images/1624382991.jpg,Which year's calendar is this?,2016
073870508X,images/073870508X.jpg,Who wrote this book?,Edain McCoy
073870508X,images/073870508X.jpg,What is the title of this book?,Past-Life & Karmic Tarot (Special Topics in Tarot Series)
073870508X,images/073870508X.jpg,What type of book is this?,Religion & Spirituality
073870508X,images/073870508X.jpg,Is this book related to Religion & Spirituality?,Yes
073870508X,images/073870508X.jpg,Is this book related to Parenting & Relationships?,No
B00087O114,images/B00087O114.jpg,Who wrote this book?,Rex Hardinge
B00087O114,images/B00087O114.jpg,What is the title of this book?,"Gambia and beyond,"
B00087O114,images/B00087O114.jpg,What is the genre of this book?,Travel
B00087O114,images/B00087O114.jpg,Is this book related to Travel?,Yes
B00087O114,images/B00087O114.jpg,Is this book related to Reference?,No
190982349X,images/190982349X.jpg,Who is the author of this book?,David Wilson
190982349X,images/190982349X.jpg,What is the title of this book?,David Wilson 2016 Calendar
190982349X,images/190982349X.jpg,What is the genre of this book?,Travel
190982349X,images/190982349X.jpg,Is this a journey related book?,Yes
190982349X,images/190982349X.jpg,Is this a sci-fi book?,No
132388901,images/132388901.jpg,Who wrote this book?,Louis Newman
132388901,images/132388901.jpg,What is the title of this book?,Introduction to Jewish Ethics
132388901,images/132388901.jpg,What is the genre of this book?,Religion & Spirituality
132388901,images/132388901.jpg,Is this book related to Religion & Spirituality?,Yes
132388901,images/132388901.jpg,Is this book related to Travel?,No
1551982269,images/1551982269.jpg,Who is the author of this book?,MapArt Publishing
1551982269,images/1551982269.jpg,What is the title of this book?,Ontario Back  Road Atlas
1551982269,images/1551982269.jpg,What is the genre of this book?,Travel
1551982269,images/1551982269.jpg,Is this book related to Travel?,Yes
1551982269,images/1551982269.jpg,Is this book related to Christian Books & Bibles?,No
78952719,images/78952719.jpg,Who wrote this book?,McGraw-Hill Education
78952719,images/78952719.jpg,What is the title of this book?,Geometry Student Edition  CCSS (MERRILL GEOMETRY)
78952719,images/78952719.jpg,What type of book is this?,Science & Math
78952719,images/78952719.jpg,Is this book related to Science & Math?,Yes
78952719,images/78952719.jpg,Is this book related to Arts & Photography?,No
143115340,images/143115340.jpg,Who is the author of this book?,Lindsey Biel
143115340,images/143115340.jpg,What is the title of this book?,Raising a Sensory Smart Child: The Definitive Handbook for Helping Your Child with SensoryProcessing Issues
143115340,images/143115340.jpg,What type of book is this?,Parenting & Relationships
143115340,images/143115340.jpg,Is this book related to Parenting & Relationships?,Yes
143115340,images/143115340.jpg,Is this book related to Sports & Outdoors?,No
805439307,images/805439307.jpg,What is the title of this book?,Welcome Hallelujah Pew Card
805439307,images/805439307.jpg,What is the genre of this book?,Christian Books & Bibles
805439307,images/805439307.jpg,Is this book related to Christian Books & Bibles?,Yes
805439307,images/805439307.jpg,Is this book related to Calendars?,No
1476785724,images/1476785724.jpg,Who wrote this book?,Jennifer Ridha
1476785724,images/1476785724.jpg,What is the title of this book?,Criminal That I Am: A Memoir
1476785724,images/1476785724.jpg,What type of book is this?,Law
1476785724,images/1476785724.jpg,Is this book related to Law?,Yes
1476785724,images/1476785724.jpg,Is this book related to Teen & Young Adult?,No
1910491020,images/1910491020.jpg,Who is the author of this book?,Athanasios Terzis
1910491020,images/1910491020.jpg,What is the title of this book?,Jurgen Klopp's Attacking Tactics - Tactical Analysis and Sessions from Borussia Dortmund's 4-2-3-1
1910491020,images/1910491020.jpg,What type of book is this?,Sports & Outdoors
1910491020,images/1910491020.jpg,Is this a games related book?,Yes
1910491020,images/1910491020.jpg,Is this a pedagogy book?,No
1442203196,images/1442203196.jpg,Who is the author of this book?,Mary Mel Ambassador French
1442203196,images/1442203196.jpg,What is the title of this book?,United States Protocol: The Guide to Official Diplomatic Etiquette
1442203196,images/1442203196.jpg,What type of book is this?,Reference
1442203196,images/1442203196.jpg,Is this book related to Reference?,Yes
1442203196,images/1442203196.jpg,Is this book related to Science Fiction & Fantasy?,No
781757347,images/781757347.jpg,What is the title of this book?,"Textbook of Therapeutics: Drug and Disease Management (Helms, Textbook of Therapeutics)"
781757347,images/781757347.jpg,What type of book is this?,Medical Books
781757347,images/781757347.jpg,Is this a pharmaceutical book?,Yes
312330340,images/312330340.jpg,Who wrote this book?,Thomas McFadden
312330340,images/312330340.jpg,What is the title of this book?,"Marching Powder: A True Story of Friendship, Cocaine, and South America's Strangest Jail"
312330340,images/312330340.jpg,What is the genre of this book?,Biographies & Memoirs
312330340,images/312330340.jpg,Is this book related to Biographies & Memoirs?,Yes
312330340,images/312330340.jpg,Is this book related to Science & Math?,No
1455529389,images/1455529389.jpg,Who is the author of this book?,Joyce Meyer
1455529389,images/1455529389.jpg,What is the title of this book?,The Everyday Life Bible: The Power of God's Word for Everyday Living
1455529389,images/1455529389.jpg,What type of book is this?,Christian Books & Bibles
1455529389,images/1455529389.jpg,Is this book related to Christian Books & Bibles?,Yes
1455529389,images/1455529389.jpg,Is this book related to Science Fiction & Fantasy?,No
1426301324,images/1426301324.jpg,Who wrote this book?,Philip Wilkinson
1426301324,images/1426301324.jpg,What is the title of this book?,World History Biographies: Gandhi: The Young Protester Who Founded a Nation (National Geographic World History Biographies)
1426301324,images/1426301324.jpg,What is the genre of this book?,Children's Books
1426301324,images/1426301324.jpg,Is this book related to Children's Books?,Yes
1426301324,images/1426301324.jpg,Is this book related to History?,No
77309308,images/77309308.jpg,Who is the author of this book?,J. Holton Wilson
77309308,images/77309308.jpg,What is the title of this book?,Business Forecasting with Student CD
77309308,images/77309308.jpg,What is the genre of this book?,Business & Money
77309308,images/77309308.jpg,Is this a financial book?,Yes
77309308,images/77309308.jpg,Is this an art related book?,No
618083596,images/618083596.jpg,Who is the author of this book?,J.R.R. Tolkien
618083596,images/618083596.jpg,What is the title of this book?,"The War of the Ring: The History of The Lord of the Rings, Part Three (The History of Middle-Earth, Vol. 8)"
618083596,images/618083596.jpg,What is the genre of this book?,Science Fiction & Fantasy
618083596,images/618083596.jpg,Is this a sci-fi book?,Yes
618083596,images/618083596.jpg,Is this christianity book?,No
1609949196,images/1609949196.jpg,Who wrote this book?,Anasazi Foundation
1609949196,images/1609949196.jpg,What is the title of this book?,The Seven Paths: Changing One's Way of Walking in the World
1609949196,images/1609949196.jpg,What type of book is this?,Religion & Spirituality
1609949196,images/1609949196.jpg,Is this book related to Religion & Spirituality?,Yes
1609949196,images/1609949196.jpg,Is this book related to Gay & Lesbian?,No
1576907503,images/1576907503.jpg,Who is the author of this book?,Edward Fry
1576907503,images/1576907503.jpg,What is the title of this book?,Spelling Book: Words Most Needed Plus Phonics by Dr. Fry
1576907503,images/1576907503.jpg,What type of book is this?,Reference
1576907503,images/1576907503.jpg,Is this a reference book?,Yes
1576907503,images/1576907503.jpg,Is this a transportation engineering book?,No
022618854X,images/022618854X.jpg,Who is the author of this book?,Michel Foucault
022618854X,images/022618854X.jpg,What is the title of this book?,"About the Beginning of the Hermeneutics of the Self: Lectures at Dartmouth College, 1980"
022618854X,images/022618854X.jpg,What is the genre of this book?,Politics & Social Sciences
022618854X,images/022618854X.jpg,Is this book related to Politics & Social Sciences?,Yes
022618854X,images/022618854X.jpg,Is this book related to Humor & Entertainment?,No
190952624X,images/190952624X.jpg,What is the title of this book?,Brigid Berlin Polaroids
190952624X,images/190952624X.jpg,What is the genre of this book?,Arts & Photography
190952624X,images/190952624X.jpg,Is this an art related book?,Yes
190952624X,images/190952624X.jpg,Is this an exam preparation book?,No
1569754144,images/1569754144.jpg,Who is the author of this book?,Ellie Herman
1569754144,images/1569754144.jpg,What is the title of this book?,Ellie Herman's Pilates Props Workbook: Illustrated Step-by-Step Guide
1569754144,images/1569754144.jpg,What is the genre of this book?,"Health, Fitness & Dieting"
1569754144,images/1569754144.jpg,"Is this book related to Health, Fitness & Dieting?",Yes
1569754144,images/1569754144.jpg,"Is this book related to Cookbooks, Food & Wine?",No
900978597,images/900978597.jpg,Who wrote this book?,Stationery Office (Great Britain)
900978597,images/900978597.jpg,What is the title of this book?,Tree Roots in the Built Environment 2013 (Research for Amenity Trees)
900978597,images/900978597.jpg,What is the genre of this book?,"Crafts, Hobbies & Home"
900978597,images/900978597.jpg,Is this a crafts or hobbies related book?,Yes
3899930274,images/3899930274.jpg,Who wrote this book?,Jorg M. Steiner
3899930274,images/3899930274.jpg,What is the title of this book?,Small Animal Gastroenterology
3899930274,images/3899930274.jpg,What is the genre of this book?,Medical Books
3899930274,images/3899930274.jpg,Is this book related to Medical Books?,Yes
3899930274,images/3899930274.jpg,Is this book related to Reference?,No
1847732054,images/1847732054.jpg,Who is the author of this book?,Globetrotter
1847732054,images/1847732054.jpg,What is the title of this book?,Best of Tallinn (Globetrotter Best of Series)
1847732054,images/1847732054.jpg,What type of book is this?,Travel
1847732054,images/1847732054.jpg,Is this book related to Travel?,Yes
1847732054,images/1847732054.jpg,Is this book related to Medical Books?,No
78799821,images/78799821.jpg,Who is the author of this book?,McGraw-Hill Education
78799821,images/78799821.jpg,What is the title of this book?,"United States Government: Democracy in Action, Student Edition (GOVERNMENT IN THE U.S.)"
78799821,images/78799821.jpg,What is the genre of this book?,Teen & Young Adult
78799821,images/78799821.jpg,Is this a youngster related book?,Yes
78799821,images/78799821.jpg,Is this a historical book?,No
71768548,images/71768548.jpg,Who is the author of this book?,Eugene Toy
71768548,images/71768548.jpg,What is the title of this book?,"Case Files Emergency Medicine, Third Edition (LANGE Case Files)"
71768548,images/71768548.jpg,What is the genre of this book?,Medical Books
71768548,images/71768548.jpg,Is this a pharmaceutical book?,Yes
71768548,images/71768548.jpg,Is this a child-care book?,No
802822215,images/802822215.jpg,Who is the author of this book?,Everett Ferguson
802822215,images/802822215.jpg,What is the title of this book?,Backgrounds of Early Christianity
802822215,images/802822215.jpg,What is the genre of this book?,History
802822215,images/802822215.jpg,Is this book related to History?,Yes
802822215,images/802822215.jpg,Is this book related to Reference?,No
1592538568,images/1592538568.jpg,Who is the author of this book?,Courtney Cerruti
1592538568,images/1592538568.jpg,What is the title of this book?,"Playing with Image Transfers: Exploring Creative Imagery for Use in Art, Mixed Media, and Design"
1592538568,images/1592538568.jpg,What type of book is this?,"Crafts, Hobbies & Home"
1592538568,images/1592538568.jpg,Is this a crafts or hobbies related book?,Yes
1592538568,images/1592538568.jpg,Is this a sociopolitical book?,No
761527478,images/761527478.jpg,Who wrote this book?,Phil Schmauder
761527478,images/761527478.jpg,What is the title of this book?,Virus Proof : The Ultimate Guide to Protecting Your PC
761527478,images/761527478.jpg,What is the genre of this book?,Computers & Technology
761527478,images/761527478.jpg,Is this book related to Computers & Technology?,Yes
761527478,images/761527478.jpg,Is this book related to Education & Teaching?,No
1553695623,images/1553695623.jpg,Who is the author of this book?,Don Adams
1553695623,images/1553695623.jpg,What is the title of this book?,Head for Mexico: The Renegade Guide
1553695623,images/1553695623.jpg,What type of book is this?,Travel
1553695623,images/1553695623.jpg,Is this a journey related book?,Yes
1553695623,images/1553695623.jpg,Is this a judicial book?,No
20902956,images/20902956.jpg,Who is the author of this book?,Eileen Yin-Fei Lo
20902956,images/20902956.jpg,What is the title of this book?,The Dim Sum Dumpling Book
20902956,images/20902956.jpg,What type of book is this?,"Cookbooks, Food & Wine"
20902956,images/20902956.jpg,Is this a recipe book?,Yes
20902956,images/20902956.jpg,Is this a financial book?,No
805072543,images/805072543.jpg,Who wrote this book?,Keith Devlin
805072543,images/805072543.jpg,What is the title of this book?,The Language of Mathematics: Making the Invisible Visible
805072543,images/805072543.jpg,What type of book is this?,Science & Math
805072543,images/805072543.jpg,Is this book related to Science & Math?,Yes
805072543,images/805072543.jpg,Is this book related to Children's Books?,No
778779203,images/778779203.jpg,Who wrote this book?,Margaret Webb
778779203,images/778779203.jpg,What is the title of this book?,Social Bullying (Take a Stand Against Bullying (Crabtree))
778779203,images/778779203.jpg,What is the genre of this book?,Teen & Young Adult
778779203,images/778779203.jpg,Is this book related to Teen & Young Adult?,Yes
778779203,images/778779203.jpg,Is this book related to Politics & Social Sciences?,No
1853684198,images/1853684198.jpg,Who wrote this book?,Globetrotter
1853684198,images/1853684198.jpg,What is the title of this book?,Seychelles Travel Guide
1853684198,images/1853684198.jpg,What is the genre of this book?,Travel
1853684198,images/1853684198.jpg,Is this book related to Travel?,Yes
1853684198,images/1853684198.jpg,Is this book related to History?,No
1600960820,images/1600960820.jpg,Who wrote this book?,Robert Louis Stevenson
1600960820,images/1600960820.jpg,What is the title of this book?,David Balfour
1600960820,images/1600960820.jpg,What type of book is this?,Teen & Young Adult
1600960820,images/1600960820.jpg,Is this a youngster related book?,Yes
1600960820,images/1600960820.jpg,Is this a child-care book?,No
792271416,images/792271416.jpg,Who is the author of this book?,National Geographic Society
792271416,images/792271416.jpg,What is the title of this book?,National Geographic Book of Mammals
792271416,images/792271416.jpg,What type of book is this?,Reference
792271416,images/792271416.jpg,Is this book related to Reference?,Yes
792271416,images/792271416.jpg,Is this book related to Gay & Lesbian?,No
785823603,images/785823603.jpg,Who wrote this book?,David Darom
785823603,images/785823603.jpg,What is the title of this book?,The Great Collections: Modern Custom Knives
785823603,images/785823603.jpg,What is the genre of this book?,"Crafts, Hobbies & Home"
785823603,images/785823603.jpg,Is this a crafts or hobbies related book?,Yes
785823603,images/785823603.jpg,Is this a pedagogy book?,No
743289579,images/743289579.jpg,Who is the author of this book?,Annabel Karmel
743289579,images/743289579.jpg,What is the title of this book?,Top 100 Baby Purees
743289579,images/743289579.jpg,What type of book is this?,"Cookbooks, Food & Wine"
743289579,images/743289579.jpg,Is this a recipe book?,Yes
743289579,images/743289579.jpg,Is this a recipe book?,No
B0049VPI4O,images/B0049VPI4O.jpg,Who is the author of this book?,Author
B0049VPI4O,images/B0049VPI4O.jpg,What is the title of this book?,Eats Shoots & Leaves the zero tolerance approach to punctutation 2006 Gotham Trade paperback
B0049VPI4O,images/B0049VPI4O.jpg,What is the genre of this book?,Reference
B0049VPI4O,images/B0049VPI4O.jpg,Is this a reference book?,Yes
B0049VPI4O,images/B0049VPI4O.jpg,Is this a crafts or hobbies related book?,No
B00D1GJLYG,images/B00D1GJLYG.jpg,Who wrote this book?,Greg Lehey
B00D1GJLYG,images/B00D1GJLYG.jpg,What is the title of this book?,The Complete FreeBSD: Documentation from the Source
B00D1GJLYG,images/B00D1GJLYG.jpg,What type of book is this?,Computers & Technology
B00D1GJLYG,images/B00D1GJLYG.jpg,Is this book related to Computers & Technology?,Yes
B00D1GJLYG,images/B00D1GJLYG.jpg,Is this book related to Literature & Fiction?,No
310270227,images/310270227.jpg,Who is the author of this book?,Gary D. Pratico
310270227,images/310270227.jpg,What is the title of this book?,"Basics of Biblical Hebrew: Workbook, 2nd Edition"
310270227,images/310270227.jpg,What is the genre of this book?,Christian Books & Bibles
310270227,images/310270227.jpg,Is this book related to Christian Books & Bibles?,Yes
310270227,images/310270227.jpg,Is this book related to Religion & Spirituality?,No
1461380359,images/1461380359.jpg,What is the title of this book?,Hot Carriers in Semiconductors
1461380359,images/1461380359.jpg,What is the genre of this book?,Science & Math
1461380359,images/1461380359.jpg,Is this book related to Science & Math?,Yes
1461380359,images/1461380359.jpg,Is this book related to Calendars?,No
470440880,images/470440880.jpg,Who is the author of this book?,Vanessa Maltin
470440880,images/470440880.jpg,What is the title of this book?,"The Gloriously Gluten-Free Cookbook: Spicing Up Life with Italian, Asian, and Mexican Recipes"
470440880,images/470440880.jpg,What type of book is this?,"Cookbooks, Food & Wine"
470440880,images/470440880.jpg,"Is this book related to Cookbooks, Food & Wine?",Yes
470440880,images/470440880.jpg,Is this book related to Science Fiction & Fantasy?,No
201746123,images/201746123.jpg,Who wrote this book?,Brian M. Edwards
201746123,images/201746123.jpg,What is the title of this book?,Interdomain Multicast Routing: Practical Juniper Networks and Cisco Systems Solutions: Practical Juniper Networks and Cisco Systems Solutions
201746123,images/201746123.jpg,What type of book is this?,Computers & Technology
201746123,images/201746123.jpg,Is this book related to Computers & Technology?,Yes
201746123,images/201746123.jpg,Is this book related to Humor & Entertainment?,No
801068355,images/801068355.jpg,Who wrote this book?,Gary L. McIntosh
801068355,images/801068355.jpg,What is the title of this book?,Overcoming the Dark Side of Leadership: How to Become an Effective Leader by Confronting Potential Failures
801068355,images/801068355.jpg,What type of book is this?,Christian Books & Bibles
801068355,images/801068355.jpg,Is this book related to Christian Books & Bibles?,Yes
801068355,images/801068355.jpg,Is this book related to Test Preparation?,No
1118096894,images/1118096894.jpg,Who wrote this book?,Jerry J. Weygandt
1118096894,images/1118096894.jpg,What is the title of this book?,Managerial Accounting: Tools for Business Decision Making
1118096894,images/1118096894.jpg,What is the genre of this book?,Business & Money
1118096894,images/1118096894.jpg,Is this a financial book?,Yes
1118096894,images/1118096894.jpg,Is this a financial book?,No
1575424134,images/1575424134.jpg,Who wrote this book?,Youth Communication
1575424134,images/1575424134.jpg,What is the title of this book?,Vicious: True Stories by Teens About Bullying (Real Teen Voices Series)
1575424134,images/1575424134.jpg,What is the genre of this book?,Teen & Young Adult
1575424134,images/1575424134.jpg,Is this book related to Teen & Young Adult?,Yes
1575424134,images/1575424134.jpg,Is this book related to Christian Books & Bibles?,No
990822311,images/990822311.jpg,Who wrote this book?,Kathleen DiChiara FDN
990822311,images/990822311.jpg,What is the title of this book?,"The Hidden Connection: Discover What's Keeping You From Feeling Happy, Healthy and Symptom-Free (B/W Version)"
990822311,images/990822311.jpg,What type of book is this?,"Health, Fitness & Dieting"
990822311,images/990822311.jpg,"Is this book related to Health, Fitness & Dieting?",Yes
990822311,images/990822311.jpg,Is this book related to Arts & Photography?,No
1770410953,images/1770410953.jpg,Who is the author of this book?,Liv Spencer
1770410953,images/1770410953.jpg,What is the title of this book?,Rosewood Confidential: The Unofficial Companion to Pretty Little Liars
1770410953,images/1770410953.jpg,What type of book is this?,Teen & Young Adult
1770410953,images/1770410953.jpg,Is this a youngster related book?,Yes
1604693592,images/1604693592.jpg,Who is the author of this book?,Kenji Kobayashi
1604693592,images/1604693592.jpg,What is the title of this book?,"Keshiki Bonsai: The Easy, Modern Way to Create Miniature Landscapes"
1604693592,images/1604693592.jpg,What is the genre of this book?,"Crafts, Hobbies & Home"
1604693592,images/1604693592.jpg,Is this a crafts or hobbies related book?,Yes
1604693592,images/1604693592.jpg,Is this christianity book?,No
882662139,images/882662139.jpg,Who wrote this book?,Charles Siegchrist
882662139,images/882662139.jpg,What is the title of this book?,Building & Using Cold Frames: Garden Way Publishing Bulletin A-39
882662139,images/882662139.jpg,What type of book is this?,"Crafts, Hobbies & Home"
882662139,images/882662139.jpg,"Is this book related to Crafts, Hobbies & Home?",Yes
882662139,images/882662139.jpg,"Is this book related to Cookbooks, Food & Wine?",No
739184008,images/739184008.jpg,Who wrote this book?,Franck Salameh
739184008,images/739184008.jpg,What is the title of this book?,"Charles Corm: An Intellectual Biography of a Twentieth-Century Lebanese ""Young Phoenician"" (The Levant and Near East: A Multidisciplinary Book Series)"
739184008,images/739184008.jpg,What is the genre of this book?,Biographies & Memoirs
739184008,images/739184008.jpg,Is this a life story book?,Yes
739184008,images/739184008.jpg,Is this a digital technology book?,No
9653016539,images/9653016539.jpg,Who wrote this book?,Rabbi Jonathan Sacks
9653016539,images/9653016539.jpg,What is the title of this book?,The Jonathan Sacks Haggada
9653016539,images/9653016539.jpg,What is the genre of this book?,Religion & Spirituality
9653016539,images/9653016539.jpg,Is this a religious book?,Yes
9653016539,images/9653016539.jpg,Is this a youngster related book?,No
1629053295,images/1629053295.jpg,Who is the author of this book?,Day Dream
1629053295,images/1629053295.jpg,What is the title of this book?,Vintage Baseball Wall Calendar (2016)
1629053295,images/1629053295.jpg,What type of book is this?,Calendars
1629053295,images/1629053295.jpg,Is this an art related book?,No
1629053295,images/1629053295.jpg,Which year's calendar is this?,2016
199664765,images/199664765.jpg,Who is the author of this book?,Paula Jarzabkowski
199664765,images/199664765.jpg,What is the title of this book?,Making a Market for Acts of God: The Practice of Risk Trading in the Global Reinsurance Industry
199664765,images/199664765.jpg,What type of book is this?,Business & Money
199664765,images/199664765.jpg,Is this book related to Business & Money?,Yes
199664765,images/199664765.jpg,Is this book related to Comics & Graphic Novels?,No
1460913043,images/1460913043.jpg,Who is the author of this book?,Robin Morris
